profile_id,age,gender,accent,scenario_id,file,duration,sentence,label,intensity
CLD_001_EN,young,male,North_American,AH20_8,CLD_001_EN_AH20_8.wav,4.966125,Are you serious right now? It just died on me in the middle of the road.,angry,4
CLD_001_EN,young,male,North_American,AH20_9,CLD_001_EN_AH20_9.wav,5.1983125,Did you not see me right there? You just slammed into the side of my car!,angry,4
CLD_001_EN,young,male,North_American,AH23_10,CLD_001_EN_AH23_10.wav,4.87325,"I actually believed you, and you just looked me in the eye and made all of that up?",sad,4
CLD_001_EN,young,male,North_American,AH23_11,CLD_001_EN_AH23_11.wav,4.548125,"Just brush off everything I say like it means nothing, that's cool.",angry,3
CLD_001_EN,young,male,North_American,AH26_12,CLD_001_EN_AH26_12.wav,4.0373125,"Whoa, I never even touched that, so where is this coming from?",angry,4
CLD_001_EN,young,male,North_American,AH33_13,CLD_001_EN_AH33_13.wav,6.03425,"Can you just slow down and actually listen, because none of what you're saying even makes sense right now.",angry,3
CLD_001_EN,young,male,North_American,AH41_14,CLD_001_EN_AH41_14.wav,2.3190625,"Hey, we don't talk to people like that, okay?",neutral,2
CLD_001_EN,young,male,North_American,AH44_15,CLD_001_EN_AH44_15.wav,4.2230625,"Come on, it's almost two in the morning, can you keep it down?",angry,3
CLD_001_EN,young,male,North_American,AL0_1,CLD_001_EN_AL0_1.wav,5.6626875,"Hey, drop that right now—those are not chew toys, you're gonna get yourself killed!",angry,4
CLD_001_EN,young,male,North_American,AL17_5,CLD_001_EN_AL17_5.wav,4.08375,"We haven't moved in like ten minutes, what is even going on up there?",angry,3
CLD_001_EN,young,male,North_American,AL17_6,CLD_001_EN_AL17_6.wav,3.0620625,"Hey, the line starts way back there, buddy.",angry,3
CLD_001_EN,young,male,North_American,AL1_2,CLD_001_EN_AL1_2.wav,5.8949375,"Seriously, I had to redo the whole thing because you cut corners again—I can't keep covering for you.",angry,4
CLD_001_EN,young,male,North_American,AL1_3,CLD_001_EN_AL1_3.wav,6.2664375,"Wait, you just stood up in there and pitched my idea like it was yours—I built that whole thing.",angry,4
CLD_001_EN,young,male,North_American,AL42_7,CLD_001_EN_AL42_7.wav,3.619375,Can I just finish one sentence before you jump in again?,angry,3
CLD_001_EN,young,male,North_American,AL6_4,CLD_001_EN_AL6_4.wav,4.176625,"Come on, we had this won—are you guys even watching the map right now?",angry,4
CLD_001_EN,young,male,North_American,JH15_9,CLD_001_EN_JH15_9.wav,4.362375,"Oh my god, she's here, she's actually here—look at those little fingers!",happy,5
CLD_001_EN,young,male,North_American,JH16_10,CLD_001_EN_JH16_10.wav,5.709125,"Man, just listen to how quiet it is out here—nothing but the wind and the birds.",happy,4
CLD_001_EN,young,male,North_American,JH16_11,CLD_001_EN_JH16_11.wav,3.5729375,"Okay, this place is unreal—I can't believe we're actually here.",happy,4
CLD_001_EN,young,male,North_American,JH29_12,CLD_001_EN_JH29_12.wav,5.7555625,"Wait, are you actually asking me right now? Yes—a thousand times yes!",happy,5
CLD_001_EN,young,male,North_American,JH32_13,CLD_001_EN_JH32_13.wav,5.6626875,"Oh my god, come here—I can't believe you're actually standing in front of me right now!",happy,5
CLD_001_EN,young,male,North_American,JH42_14,CLD_001_EN_JH42_14.wav,4.9196875,He's literally right there—this is the song I've been waiting all night for!,happy,5
CLD_001_EN,young,male,North_American,JH46_15,CLD_001_EN_JH46_15.wav,5.8484375,"Wait, you actually remembered I mentioned this months ago? I can't believe you held onto that.",happy,4
CLD_001_EN,young,male,North_American,JH6_7,CLD_001_EN_JH6_7.wav,4.87325,"Wait, I actually won? No way, I never win anything!",happy,5
CLD_001_EN,young,male,North_American,JH6_8,CLD_001_EN_JH6_8.wav,4.8268125,"Let's go, we actually pulled it off! That was such a clutch finish, guys!",happy,5
CLD_001_EN,young,male,North_American,JL0_1,CLD_001_EN_JL0_1.wav,3.898,"Welcome home, buddy—this is all yours now, go check it out!",happy,4
CLD_001_EN,young,male,North_American,JL11_4,CLD_001_EN_JL11_4.wav,5.4305,"No way, I actually pulled off an A on that one—all those late nights were worth it!",happy,5
CLD_001_EN,young,male,North_American,JL20_5,CLD_001_EN_JL20_5.wav,5.24475,She's finally mine—I signed the papers and the keys are right here in my hand!,happy,5
CLD_001_EN,young,male,North_American,JL39_6,CLD_001_EN_JL39_6.wav,5.523375,"Everyone's already here—come on, let's get in there before they start without us!",happy,4
CLD_001_EN,young,male,North_American,JL7_2,CLD_001_EN_JL7_2.wav,4.45525,"This is so good, I'm glad we finally got everyone around the same table.",happy,3
CLD_001_EN,young,male,North_American,JL9_3,CLD_001_EN_JL9_3.wav,5.2911875,"Man, remember that road trip when the car broke down and we just laughed about it the whole night?",happy,3
CLD_001_EN,young,male,North_American,NH17_4,CLD_001_EN_NH17_4.wav,13.186,"I take the bus most days, it's about a twenty minute ride if traffic cooperates. Sometimes I'll bike if the weather's decent, gets me there a little faster anyway. Either way I usually end up cutting it close and walking in right as things start.",neutral,2
CLD_001_EN,young,male,North_American,NH24_5,CLD_001_EN_NH24_5.wav,13.4181875,"Let me think, I grabbed some eggs, a loaf of bread, and a couple bags of frozen veggies. Oh, and coffee, because I was almost out and that would've been a disaster. Pretty basic run, honestly nothing exciting.",neutral,2
CLD_001_EN,young,male,North_American,NH48_6,CLD_001_EN_NH48_6.wav,14.347,"There's just the parking lot out there, a few cars, and that one tree that's barely hanging onto its leaves. Across the street you can see the corner store with the flickering sign. Not much going on right now, honestly. Quiet day.",neutral,2
CLD_001_EN,young,male,North_American,NH6_3,CLD_001_EN_NH6_3.wav,15.786625,"Honestly it's pretty boring. Alarm goes off around seven, I hit snooze a couple times, then drag myself to the kitchen for coffee. I'll scroll my phone for a bit, throw on whatever's clean, and head out. Nothing exciting, just the same thing every day.",neutral,2
CLD_001_EN,young,male,North_American,NL1_1,CLD_001_EN_NL1_1.wav,15.9259375,"Let's see, I've got my lab meeting on Mondays, then soccer practice twice a week, and I usually hit the gym most mornings. Oh, and there's that study group on Thursdays I always forget about until the last minute. Pretty packed, honestly.",neutral,2
CLD_001_EN,young,male,North_American,NL21_2,CLD_001_EN_NL21_2.wav,15.1364375,"Oh, it was this analysis on user retention numbers from last quarter. Basically I had to dig through a ton of data and figure out why people were dropping off after the first month. Took way longer than I expected, but I finally wrapped it up yesterday.",neutral,2
